restaurant_id,nombre,ciudad,vertical,rating_actual,rating_prom_30d,delta_rating,tasa_cancelacion_pct,tiempo_entrega_avg_min,ordenes_7d,ordenes_7d_anterior,var_ordenes_pct,quejas_7d,nps_score,valor_ticket_prom_mxn,kam_asignado,activo_desde,semaforo_riesgo,rating_score,cancel_score,delivery_score,orders_score,complaints_score,nps_risk_score,drop_rating_flag,high_cancel_flag,delivery_delay_flag,order_drop_flag,complaint_spike_flag,low_nps_flag,risk_score,risk_level,risk_drivers,recommended_action,urgency
R0047,Taquería La Plaza,Barranquilla,Comida,4.4,4.4,0.04,9.7,26,324,331,-2.1,0,77,347.19,Fernando Castro,2026-09-11,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0048,Sushi La Plaza,CDMX,Comida,1.4,2.1,-0.75,32.3,81,43,60,-28.9,34,7,157.57,Paula Herrera,2026-09-09,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0049,Burritos La Abuela,Cali,Mercado,3.1,3.2,-0.06,11.2,59,56,63,-10.6,9,51,132.99,Juan Pérez,2025-02-19,🟢 ESTABLE,0,20,15,10,10,0,0,1,1,1,1,0,55,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0050,Burger Don Chuy,Tijuana,Comida,4.7,4.6,0.09,1.3,27,441,432,2.1,3,67,413.71,Sofía Ramírez,2026-09-02,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0051,Burritos Express,Querétaro,Comida,4.9,4.6,0.26,8.4,20,110,111,-0.9,2,84,434.65,Fernando Castro,2025-10-13,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0052,Cevichería La Abuela,Cali,Comida,3.8,4.0,-0.22,15.9,37,106,132,-19.4,11,53,171.57,Sofía Ramírez,2024-04-22,🟡 EN RIESGO,10,20,8,10,10,0,1,1,1,1,1,0,58,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0053,Taquería El Torito,CDMX,Comida,3.5,3.8,-0.34,16.2,49,65,79,-17.3,14,43,221.57,Roberto Sánchez,2024-09-03,🔴 CRÍTICO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0054,Burritos Gourmet,Barranquilla,Farmacia,4.1,4.1,-0.04,4.7,33,227,203,11.6,3,91,438.57,Ana Torres,2026-09-18,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0055,Pizzería El Rey 2,CDMX,Farmacia,3.3,3.6,-0.26,12.3,46,109,119,-8.7,15,44,241.6,Juan Pérez,2025-08-29,🟡 EN RIESGO,10,20,8,0,10,5,1,1,1,0,1,1,53,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0056,Los Tacos de Clásico,Tijuana,Comida,1.8,2.7,-0.88,33.9,70,50,84,-40.7,32,0,135.23,Carlos Mendoza,2025-06-04,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0057,Pizzería Artesanal,Guadalajara,Comida,4.7,4.6,0.1,3.5,33,321,318,1.1,4,69,310.42,Fernando Castro,2026-01-05,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0058,El Rincón Fusión,Guadalajara,Comida,4.7,4.7,0.01,1.0,27,380,347,9.5,5,80,474.19,Roberto Sánchez,2026-03-09,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0059,Café Del Norte,Barranquilla,Farmacia,3.4,3.5,-0.07,20.4,57,60,68,-11.4,8,57,244.09,Ana Torres,2025-12-12,🟡 EN RIESGO,0,20,15,10,10,0,0,1,1,1,1,0,55,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0060,El Mercado de Artesanal,Barranquilla,Bebidas,4.1,4.0,0.1,6.3,21,305,313,-2.5,3,65,425.63,Paula Herrera,2026-11-01,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0061,Mariscos El Torito,Guadalajara,Comida,4.8,4.6,0.16,8.7,35,274,230,18.9,5,87,481.73,Roberto Sánchez,2026-03-14,🟢 ESTABLE,0,10,8,0,5,0,0,1,1,0,1,0,23,Stable,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0062,Tortas La Abuela,CDMX,Comida,2.5,3.1,-0.64,22.2,95,50,64,-21.4,29,5,149.4,Ana Torres,2024-06-03,🔴 CRÍTICO,25,20,15,10,10,10,1,1,1,1,1,1,90,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0063,Los Tacos de 100% Natural,Lima,Comida,4.2,4.1,0.11,6.1,23,167,168,-0.6,4,92,310.07,Juan Pérez,2026-12-15,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0064,Tortas Clásico,Querétaro,Comida,3.4,3.6,-0.17,20.8,49,66,73,-9.8,7,32,190.68,Diego Vargas,2026-06-17,🟡 EN RIESGO,0,20,8,0,10,5,0,1,1,0,1,1,43,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0065,El Rincón Clásico,Lima,Bebidas,3.1,3.4,-0.27,15.8,42,78,88,-11.4,14,39,278.83,Sofía Ramírez,2024-04-14,🟡 EN RIESGO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0066,La Cocina de El Portal 9,Buenos Aires,Mercado,3.8,3.9,-0.13,12.8,60,75,90,-16.7,8,49,160.1,María López,2026-09-08,🟡 EN RIESGO,0,20,15,10,10,5,0,1,1,1,1,1,60,Critical,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Immediate
R0067,La Cocina de La Plaza 7,Guadalajara,Comida,3.0,3.3,-0.3,19.0,40,55,67,-18.0,13,58,275.44,Isabella Moreno,2026-12-23,🟡 EN RIESGO,10,20,8,10,10,0,1,1,1,1,1,0,58,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0068,El Rincón El Rápido,Medellín,Comida,2.0,2.4,-0.38,37.7,84,9,15,-41.2,45,7,166.01,Paula Herrera,2026-04-16,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0069,El Mercado de Don Chuy,Santiago,Comida,4.1,4.1,0.05,7.7,26,379,363,4.5,5,95,306.3,Juan Pérez,2026-10-22,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0070,Tortas La Familia,CDMX,Farmacia,3.5,3.6,-0.15,17.8,38,47,58,-19.3,5,39,279.35,Carlos Mendoza,2024-09-16,🟡 EN RIESGO,0,20,8,10,5,5,0,1,1,1,1,1,48,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0071,El Mercado de Clásico,Bogotá,Comida,5.0,4.9,0.18,5.9,36,159,136,17.1,5,68,463.46,Fernando Castro,2026-06-14,🟢 ESTABLE,0,10,8,0,5,0,0,1,1,0,1,0,23,Stable,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0072,Carnitas Del Barrio,Medellín,Comida,5.0,4.9,0.24,1.9,29,358,305,17.5,5,76,200.59,Sofía Ramírez,2025-03-24,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0073,El Asadero Del Barrio,Guadalajara,Comida,3.3,3.7,-0.39,19.4,42,46,50,-8.2,8,32,252.77,Isabella Moreno,2025-04-29,🟡 EN RIESGO,10,20,8,0,10,5,1,1,1,0,1,1,53,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0074,Tortas Gourmet,Querétaro,Comida,3.6,3.8,-0.19,13.3,39,46,52,-11.9,17,35,137.59,Ana Torres,2024-11-25,🟡 EN RIESGO,0,20,8,10,10,5,0,1,1,1,1,1,53,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0075,Tortas La Plaza,CDMX,Farmacia,4.1,4.2,-0.08,7.7,34,138,121,13.6,3,79,444.53,Isabella Moreno,2026-06-29,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0076,El Fogón Casero,Guadalajara,Comida,1.7,2.1,-0.43,39.1,88,24,36,-32.6,45,0,86.08,Roberto Sánchez,2026-06-01,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0077,Mariscos Clásico,São Paulo,Comida,4.2,4.1,0.14,1.6,26,399,360,10.8,4,87,290.56,Fernando Castro,2026-02-20,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0078,El Fogón El Portal,Lima,Comida,4.7,4.7,-0.05,6.9,35,449,385,16.6,3,79,481.95,Paula Herrera,2026-01-24,🟢 ESTABLE,0,10,8,0,5,0,0,1,1,0,1,0,23,Stable,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0079,Café Fusión 7,Cali,Bebidas,3.1,3.5,-0.35,21.1,37,41,44,-7.5,6,43,135.45,Diego Vargas,2024-11-22,🔴 CRÍTICO,10,20,8,0,10,5,1,1,1,0,1,1,53,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0080,Parrilla Del Norte,Tijuana,Comida,4.1,4.1,0.04,7.0,31,449,466,-3.7,2,84,286.23,Carlos Mendoza,2026-05-28,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0081,Sushi El Rápido,Puebla,Comida,4.3,4.1,0.24,4.3,26,373,370,0.7,3,92,370.73,Fernando Castro,2026-08-09,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0082,El Rincón Don Chuy,Tijuana,Comida,4.6,4.6,0.02,4.1,18,172,147,16.7,4,86,316.27,María López,2026-09-18,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0083,El Fogón Del Barrio,CDMX,Comida,4.4,4.4,-0.04,3.8,28,370,337,9.9,0,69,233.52,Fernando Castro,2024-06-10,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
